scores,steps,episode
100.0,20,1
-10.0,114,2
-10.0,208,3
-10.0,302,4
-10.0,392,5
-10.0,473,6
-10.0,482,7
-10.0,497,8
-10.0,515,9
-10.0,539,10
100.0,542,11
-10.0,551,12
-10.0,584,13
-10.0,593,14
-10.0,606,15
-10.0,643,16
-10.0,661,17
-10.0,687,18
100.0,690,19
-10.0,699,20
100.0,740,21
-10.0,767,22
-10.0,776,23
-10.0,791,24
-10.0,838,25
-10.0,877,26
-10.0,899,27
-10.0,965,28
-10.0,980,29
-10.0,1001,30
-10.0,1010,31
-10.0,1027,32
-10.0,1038,33
-10.0,1113,34
-10.0,1120,35
-10.0,1138,36
-10.0,1160,37
-10.0,1169,38
-10.0,1392,39
-10.0,1461,40
100.0,1463,41
-10.0,1605,42
-10.0,1649,43
-10.0,1747,44
100.0,1750,45
-10.0,1777,46
100.0,1782,47
-10.0,1793,48
100.0,1795,49
-10.0,1805,50
100.0,1816,51
-10.0,1843,52
-10.0,1938,53
-10.0,2015,54
-10.0,2056,55
-10.0,2085,56
-10.0,2132,57
-10.0,2241,58
-10.0,2308,59
-10.0,2325,60
-10.0,2332,61
-10.0,2375,62
-10.0,2393,63
-10.0,2403,64
-10.0,2412,65
-10.0,2423,66
100.0,2440,67
-10.0,2483,68
-10.0,2524,69
-10.0,2593,70
-10.0,2616,71
-10.0,2721,72
100.0,2724,73
-10.0,2790,74
100.0,2800,75
-10.0,2933,76
100.0,2936,77
-10.0,2959,78
-10.0,3002,79
-10.0,3045,80
-10.0,3072,81
-10.0,3102,82
-10.0,3158,83
-10.0,3251,84
-10.0,3274,85
-10.0,3281,86
100.0,3306,87
100.0,3308,88
-10.0,3334,89
-10.0,3351,90
-10.0,3375,91
-10.0,3383,92
-10.0,3395,93
-10.0,3407,94
100.0,3418,95
-10.0,3429,96
-10.0,3440,97
100.0,3451,98
-10.0,3461,99
-10.0,3472,100
-10.0,3526,101
-10.0,3549,102
-10.0,3634,103
-10.0,3708,104
100.0,3806,105
-10.0,3839,106
-10.0,3854,107
-10.0,3863,108
-10.0,3880,109
100.0,3882,110
-10.0,3896,111
-10.0,3911,112
100.0,3931,113
-10.0,3945,114
-10.0,3974,115
-10.0,4029,116
100.0,4042,117
100.0,4057,118
100.0,4078,119
-10.0,4087,120
100.0,4106,121
100.0,4115,122
-10.0,4132,123
-10.0,4149,124
100.0,4160,125
-10.0,4185,126
-10.0,4200,127
-10.0,4209,128
-10.0,4228,129
-10.0,4237,130
100.0,4239,131
-10.0,4275,132
-10.0,4326,133
-10.0,4375,134
-10.0,4455,135
-10.0,4491,136
-10.0,4523,137
-10.0,4548,138
-10.0,4570,139
-10.0,4707,140
-10.0,4726,141
-10.0,4761,142
-10.0,4784,143
-10.0,4823,144
-10.0,4940,145
100.0,4945,146
-10.0,4980,147
100.0,4982,148
-10.0,5178,149
100.0,5183,150
-10.0,5420,151
-10.0,5487,152
-10.0,5576,153
-10.0,5615,154
-10.0,5672,155
-10.0,5783,156
-10.0,5852,157
-10.0,6103,158
100.0,6286,159
100.0,6288,160
-10.0,6320,161
-10.0,6363,162
-10.0,6448,163
-10.0,6580,164
-10.0,6637,165
100.0,6699,166
-10.0,6754,167
100.0,6921,168
-10.0,6938,169
-10.0,7189,170
100.0,7420,171
-10.0,7463,172
-10.0,7526,173
-10.0,7583,174
100.0,7662,175
100.0,7707,176
-10.0,7718,177
100.0,7721,178
-10.0,7737,179
-10.0,7905,180
-10.0,7954,181
-10.0,8205,182
-10.0,8259,183
-10.0,8353,184
-10.0,8412,185
-10.0,8469,186
-10.0,8518,187
-10.0,8739,188
100.0,8932,189
-10.0,9138,190
100.0,9140,191
-10.0,9391,192
-10.0,9440,193
100.0,9445,194
-10.0,9482,195
-10.0,9497,196
100.0,9522,197
-10.0,9551,198
-10.0,9564,199
-10.0,9589,200
100.0,9591,201
-10.0,9617,202
-10.0,9642,203
-10.0,9663,204
-10.0,9686,205
-10.0,9701,206
-10.0,9732,207
100.0,9757,208
-10.0,9794,209
100.0,9796,210
-10.0,9814,211
-10.0,9829,212
100.0,9884,213
-10.0,9907,214
-10.0,9944,215
100.0,9949,216
100.0,9972,217
100.0,9983,218
100.0,10048,219
100.0,10071,220
100.0,10084,221
-10.0,10107,222
100.0,10120,223
-10.0,10143,224
-10.0,10154,225
100.0,10169,226
100.0,10186,227
100.0,10205,228
-10.0,10220,229
100.0,10235,230
-10.0,10290,231
-10.0,10349,232
-10.0,10362,233
100.0,10379,234
100.0,10382,235
-10.0,10425,236
100.0,10444,237
100.0,10463,238
100.0,10500,239
100.0,10502,240
100.0,10526,241
100.0,10547,242
-10.0,10558,243
-10.0,10571,244
-10.0,10656,245
100.0,10677,246
100.0,10682,247
-10.0,10695,248
-10.0,10712,249
100.0,10731,250
100.0,10798,251
100.0,10833,252
-10.0,10844,253
-10.0,10857,254
-10.0,10877,255
100.0,10929,256
100.0,10999,257
-10.0,11011,258
100.0,11032,259
100.0,11057,260
-10.0,11112,261
100.0,11135,262
-10.0,11148,263
100.0,11173,264
-10.0,11184,265
100.0,11187,266
100.0,11216,267
100.0,11233,268
-10.0,11254,269
100.0,11269,270
-10.0,11282,271
100.0,11307,272
100.0,11328,273
100.0,11333,274
100.0,11344,275
100.0,11350,276
-10.0,11370,277
-10.0,11385,278
100.0,11410,279
-10.0,11459,280
100.0,11478,281
100.0,11499,282
-10.0,11510,283
100.0,11533,284
-10.0,11544,285
100.0,11567,286
-10.0,11584,287
100.0,11597,288
100.0,11606,289
100.0,11619,290
100.0,11664,291
100.0,11666,292
100.0,11674,293
100.0,11696,294
100.0,11710,295
100.0,11724,296
-10.0,11741,297
100.0,11757,298
-10.0,11766,299
100.0,11768,300
100.0,11795,301
-10.0,11811,302
100.0,11835,303
100.0,11847,304
100.0,11867,305
-10.0,11887,306
100.0,11912,307
100.0,11925,308
100.0,11927,309
100.0,11941,310
-10.0,11954,311
100.0,11956,312
100.0,11982,313
-10.0,12013,314
100.0,12038,315
100.0,12061,316
100.0,12124,317
-10.0,12139,318
100.0,12158,319
100.0,12202,320
100.0,12214,321
100.0,12231,322
100.0,12236,323
100.0,12241,324
-10.0,12254,325
-10.0,12275,326
-10.0,12287,327
100.0,12303,328
100.0,12326,329
-10.0,12343,330
100.0,12362,331
