episode,scores,steps
0,-10,110
1,-10,163
2,-10,413
3,-10,663
4,-10,913
5,100,945
6,-10,962
7,100,964
8,-10,981
9,-10,997
10,100,1004
11,-10,1110
12,-10,1206
13,-10,1456
14,100,1568
15,100,1574
16,-10,1586
17,100,1606
18,100,1630
19,-10,1880
20,-10,2130
21,-10,2380
22,-10,2508
23,-10,2758
24,100,2762
25,100,2773
26,-10,3023
27,100,3193
28,-10,3443
29,-10,3693
30,-10,3943
31,-10,4193
32,-10,4443
33,-10,4693
34,100,4703
35,-10,4953
36,-10,5203
37,100,5206
38,-10,5456
39,100,5469
40,100,5476
41,-10,5726
42,100,5734
43,-10,5984
44,-10,6234
45,-10,6370
46,100,6375
47,-10,6392
48,-10,6409
49,-10,6427
50,-10,6444
51,100,6447
52,-10,6465
53,100,6494
54,-10,6510
55,100,6518
56,100,6566
57,-10,6816
58,-10,7066
59,-10,7316
60,-10,7566
61,-10,7816
62,-10,8066
63,-10,8316
64,-10,8566
65,-10,8816
66,-10,9066
67,-10,9316
68,-10,9566
69,-10,9816
70,100,9817
71,-10,10067
72,-10,10317
73,-10,10567
74,-10,10581
75,-10,10596
76,100,10597
77,-10,10645
78,100,10666
79,-10,10727
80,-10,10794
81,-10,10808
82,-10,11058
83,100,11072
84,-10,11322
85,-10,11572
86,100,11583
87,-10,11833
88,-10,12083
89,100,12084
90,100,12090
91,-10,12249
92,-10,12264
93,-10,12514
94,-10,12764
95,-10,13014
96,-10,13264
97,100,13273
98,-10,13523
99,-10,13773
100,-10,14023
101,-10,14273
102,-10,14523
103,-10,14773
104,-10,15023
105,-10,15273
106,100,15274
107,-10,15524
108,100,15622
109,-10,15872
110,-10,16122
111,-10,16372
112,-10,16622
113,100,16630
114,-10,16880
115,-10,17130
116,100,17134
117,-10,17384
118,-10,17634
119,100,17637
120,100,17646
121,-10,17896
122,-10,18146
123,-10,18396
124,-10,18549
125,-10,18568
126,-10,18579
127,-10,18589
128,-10,18600
129,-10,18611
130,-10,18622
131,-10,18633
132,-10,18644
133,-10,18655
134,-10,18666
135,-10,18677
136,-10,18688
137,-10,18699
138,-10,18709
139,-10,18719
140,-10,18729
141,-10,18739
142,-10,18749
143,-10,18759
144,-10,18769
145,-10,18779
146,-10,18790
147,100,18794
148,-10,18803
149,-10,18813
150,100,18818
151,-10,18827
152,-10,19077
153,-10,19327
154,-10,19577
155,-10,19827
156,-10,20077
157,-10,20327
158,-10,20577
159,-10,20827
160,-10,21077
161,-10,21327
162,-10,21577
163,-10,21827
164,-10,22077
165,-10,22246
166,-10,22291
167,100,22304
168,-10,22349
169,-10,22363
170,-10,22377
171,-10,22413
172,-10,22430
173,-10,22450
174,-10,22469
175,-10,22489
176,-10,22507
177,-10,22524
178,-10,22544
179,-10,22794
180,-10,23044
181,100,23045
182,100,23055
183,100,23093
184,-10,23343
185,-10,23593
186,100,23597
187,-10,23847
188,-10,24097
189,-10,24347
190,-10,24597
191,-10,24847
192,-10,25097
193,-10,25347
194,-10,25597
195,-10,25847
196,100,25879
197,-10,26129
198,100,26139
199,100,26142
200,-10,26392
201,-10,26642
202,-10,26892
203,-10,27142
204,-10,27392
205,-10,27642
206,-10,27892
207,-10,28142
208,-10,28392
209,-10,28642
210,100,28650
211,-10,28900
212,-10,29150
213,-10,29400
214,-10,29650
215,-10,29900
216,-10,30150
217,-10,30400
218,-10,30650
219,100,30660
220,-10,30910
221,-10,31160
222,-10,31410
223,100,31450
224,-10,31700
225,-10,31950
