episode,scores,steps
0,-10,157
1,-10,186
2,100,187
3,-10,235
4,-10,257
5,-10,296
6,-10,319
7,-10,365
8,-10,379
9,-10,401
10,-10,419
11,-10,443
12,-10,466
13,-10,479
14,-10,493
15,-10,519
16,-10,552
17,100,553
18,-10,573
19,100,575
20,-10,599
21,-10,621
22,-10,640
23,-10,651
24,100,663
25,-10,678
26,-10,713
27,-10,738
28,-10,751
29,-10,764
30,-10,796
31,-10,809
32,-10,834
33,-10,852
34,-10,874
35,-10,897
36,-10,910
37,100,911
38,-10,926
39,-10,951
40,-10,971
41,-10,991
42,-10,1007
43,-10,1031
44,-10,1057
45,-10,1083
46,-10,1110
47,-10,1136
48,-10,1148
49,-10,1169
50,-10,1182
51,-10,1198
52,-10,1216
53,-10,1228
54,-10,1247
55,-10,1268
56,-10,1279
57,-10,1300
58,-10,1340
59,-10,1370
60,100,1371
61,-10,1392
62,-10,1405
63,-10,1422
64,-10,1440
65,-10,1472
66,-10,1497
67,-10,1521
68,-10,1549
69,-10,1564
70,-10,1584
71,-10,1605
72,100,1623
73,-10,1651
74,-10,1667
75,100,1671
76,100,1672
77,-10,1682
78,100,1683
79,-10,1697
80,-10,1731
81,-10,1752
82,-10,1773
83,-10,1812
84,-10,1826
85,-10,1848
86,-10,1861
87,-10,1878
88,-10,1907
89,-10,1938
90,-10,1952
91,-10,1976
92,-10,1994
93,-10,2008
94,-10,2054
95,100,2055
96,-10,2094
97,-10,2119
98,-10,2143
99,-10,2171
100,-10,2209
101,-10,2228
102,-10,2244
103,-10,2260
104,-10,2273
105,-10,2290
106,-10,2313
107,-10,2347
108,-10,2377
109,-10,2416
110,-10,2474
111,-10,2527
112,-10,2540
113,-10,2553
114,-10,2625
115,100,2638
116,-10,2681
117,-10,2701
118,-10,2720
119,100,2721
120,-10,2759
121,-10,2776
122,-10,2793
123,-10,2832
124,-10,2845
125,-10,2866
126,-10,2882
127,-10,2894
128,-10,2964
129,-10,2981
130,-10,3016
131,-10,3057
132,-10,3083
133,-10,3125
134,-10,3163
135,-10,3183
136,-10,3303
137,-10,3324
138,-10,3348
139,-10,3422
