episode,scores,steps
0,-10,105
1,-10,231
2,-10,340
3,-10,442
4,-10,555
5,-10,609
6,-10,727
7,100,728
8,-10,834
9,-10,943
10,-10,1006
11,-10,1256
12,-10,1342
13,-10,1360
14,-10,1383
15,-10,1397
16,-10,1415
17,-10,1433
18,100,1435
19,100,1437
20,-10,1457
21,-10,1475
22,-10,1489
23,-10,1503
24,-10,1521
25,-10,1550
26,-10,1564
27,100,1565
28,-10,1579
29,-10,1589
30,-10,1600
31,100,1601
32,100,1604
33,-10,1613
34,-10,1621
35,-10,1644
36,-10,1663
37,-10,1671
38,100,1673
39,-10,1681
40,-10,1701
41,100,1715
42,-10,1729
43,-10,1745
44,-10,1754
45,-10,1763
46,-10,1805
47,-10,1850
48,-10,2049
49,-10,2299
50,-10,2438
51,-10,2598
52,-10,2694
53,-10,2812
54,-10,2863
55,-10,2987
56,-10,3052
57,-10,3133
58,-10,3244
59,-10,3301
60,-10,3425
61,100,3426
62,-10,3471
63,-10,3721
64,100,3724
65,-10,3932
66,-10,4182
67,-10,4432
68,100,4446
69,-10,4567
70,-10,4816
71,-10,5066
72,-10,5149
73,-10,5360
74,100,5377
75,-10,5448
76,-10,5535
77,-10,5567
78,-10,5576
79,-10,5613
80,-10,5687
81,-10,5701
82,-10,5873
83,-10,6073
84,-10,6106
85,-10,6232
86,-10,6330
87,-10,6425
88,-10,6550
89,-10,6677
90,-10,6806
91,-10,7056
92,-10,7189
93,-10,7293
94,100,7311
95,-10,7459
96,100,7472
97,100,7486
98,-10,7546
99,-10,7590
100,-10,7640
101,-10,7661
102,-10,7745
103,-10,7823
104,-10,7894
105,-10,7920
106,-10,7964
107,-10,8012
108,100,8059
109,-10,8119
110,-10,8141
111,-10,8162
112,100,8187
113,100,8272
114,100,8302
115,-10,8327
116,100,8328
117,-10,8367
118,100,8388
119,100,8413
120,100,8414
121,100,8433
122,100,8448
123,-10,8486
124,100,8519
125,100,8532
126,100,8561
127,-10,8581
128,-10,8603
129,-10,8621
130,100,8626
131,100,8642
132,100,8656
133,-10,8677
134,-10,8706
135,-10,8724
136,100,8730
137,100,8757
138,-10,8776
139,-10,8813
140,-10,8826
141,-10,8854
142,100,8872
143,-10,8890
144,100,8906
145,100,8920
146,-10,8964
147,-10,9013
148,-10,9024
149,-10,9049
150,100,9051
151,100,9079
152,-10,9139
153,100,9151
154,-10,9236
155,100,9257
156,-10,9482
157,100,9554
158,-10,9565
159,-10,9599
160,-10,9666
161,100,9670
162,-10,9700
163,-10,9797
164,-10,9818
165,100,9840
166,100,9882
167,-10,9893
168,-10,9949
169,-10,9984
170,-10,10001
171,-10,10016
172,-10,10025
173,-10,10073
174,100,10074
175,-10,10091
176,-10,10099
177,-10,10108
178,-10,10124
179,-10,10139
180,-10,10147
181,100,10169
182,100,10184
183,-10,10195
184,100,10213
185,-10,10229
186,-10,10242
187,-10,10295
188,100,10296
189,-10,10315
190,100,10345
191,-10,10360
192,100,10370
193,100,10378
194,100,10381
195,-10,10389
196,100,10397
197,-10,10414
198,100,10427
199,100,10439
200,-10,10454
201,-10,10476
202,-10,10486
203,-10,10499
204,100,10519
205,-10,10535
206,100,10546
207,100,10567
208,100,10575
209,-10,10585
210,100,10605
211,100,10624
212,-10,10639
213,-10,10648
214,100,10650
215,100,10666
216,100,10683
217,100,10694
218,-10,10709
219,100,10722
220,100,10728
221,100,10747
222,-10,10757
223,100,10769
224,100,10771
225,-10,10789
226,-10,10804
227,100,10820
228,100,10833
229,100,10851
230,-10,10865
231,100,10884
232,-10,10892
233,100,10910
234,100,10920
235,100,10932
236,-10,10947
237,-10,10962
238,-10,10978
239,-10,10994
240,100,11002
241,100,11018
242,-10,11029
243,100,11030
244,100,11042
245,-10,11056
246,100,11077
247,100,11078
248,100,11091
249,100,11106
250,100,11117
251,100,11131
252,-10,11146
253,100,11165
254,-10,11179
255,-10,11192
256,100,11193
257,100,11205
258,-10,11218
259,-10,11233
260,-10,11242
261,100,11256
262,100,11267
263,-10,11276
264,100,11292
265,100,11301
266,-10,11318
267,-10,11333
268,100,11348
269,-10,11364
270,-10,11372
271,100,11383
272,100,11398
273,100,11409
274,-10,11418
275,-10,11434
276,100,11448
277,100,11458
278,-10,11471
279,100,11482
280,100,11495
281,100,11512
282,-10,11524
283,-10,11537
284,-10,11545
285,100,11546
286,100,11551
287,-10,11559
288,100,11577
289,100,11589
290,-10,11599
291,-10,11608
292,100,11611
293,100,11623
294,-10,11632
295,-10,11641
296,100,11654
297,100,11668
298,100,11679
299,-10,11687
300,100,11706
301,100,11707
302,100,11719
303,-10,11735
304,100,11747
305,100,11748
306,100,11766
307,100,11783
308,100,11794
309,100,11796
310,100,11810
311,-10,11820
312,100,11830
313,100,11844
314,100,11854
315,100,11864
316,-10,11872
317,100,11887
318,-10,11896
319,100,11897
