scores,steps,episode
-10.0,188,1
-10.0,454,2
100.0,546,3
100.0,639,4
-10.0,810,5
-10.0,915,6
-10.0,1050,7
100.0,1317,8
-10.0,1513,9
100.0,1677,10
100.0,1720,11
-10.0,1765,12
100.0,1850,13
100.0,2055,14
100.0,2139,15
100.0,2275,16
100.0,2328,17
-10.0,2367,18
100.0,2403,19
100.0,2465,20
100.0,2546,21
100.0,2661,22
100.0,2766,23
100.0,2845,24
100.0,3026,25
100.0,3215,26
100.0,3334,27
-10.0,3540,28
100.0,3668,29
100.0,3795,30
100.0,3828,31
100.0,3893,32
100.0,4023,33
-10.0,4105,34
-10.0,4179,35
100.0,4297,36
100.0,4348,37
100.0,4535,38
100.0,4666,39
100.0,4721,40
100.0,4869,41
100.0,5055,42
100.0,5057,43
100.0,5103,44
100.0,5192,45
-10.0,5297,46
100.0,5372,47
100.0,5457,48
-10.0,5492,49
100.0,5658,50
100.0,5715,51
100.0,5768,52
100.0,5843,53
100.0,5942,54
-10.0,6075,55
100.0,6202,56
100.0,6331,57
100.0,6420,58
100.0,6517,59
100.0,6652,60
100.0,6763,61
100.0,6844,62
100.0,6931,63
100.0,7002,64
100.0,7089,65
100.0,7172,66
100.0,7277,67
100.0,7395,68
100.0,7437,69
100.0,7478,70
100.0,7557,71
100.0,7604,72
100.0,7685,73
100.0,7842,74
100.0,8001,75
100.0,8062,76
100.0,8201,77
-10.0,8314,78
100.0,8411,79
100.0,8468,80
-10.0,8533,81
100.0,8596,82
100.0,8655,83
100.0,8736,84
100.0,8759,85
100.0,8828,86
-10.0,8956,87
100.0,9142,88
100.0,9267,89
100.0,9460,90
100.0,9581,91
100.0,9716,92
100.0,9789,93
100.0,9946,94
100.0,10033,95
100.0,10346,96
100.0,10420,97
100.0,10498,98
100.0,10582,99
100.0,10660,100
100.0,10740,101
-10.0,10877,102
100.0,10959,103
-10.0,11060,104
100.0,11314,105
-10.0,11391,106
-10.0,11622,107
100.0,11792,108
-10.0,12284,109
100.0,12465,110
100.0,12554,111
100.0,12661,112
100.0,12746,113
-10.0,12887,114
100.0,13116,115
100.0,13191,116
100.0,13236,117
100.0,13405,118
100.0,13542,119
100.0,13661,120
-10.0,13756,121
100.0,13837,122
-10.0,13928,123
100.0,14111,124
100.0,14247,125
100.0,14401,126
100.0,14500,127
100.0,14597,128
100.0,14640,129
100.0,14781,130
