episode,scores,steps
0,-10,300
1,-10,600
2,-10,900
3,-10,1200
4,-10,1500
5,100,1501
6,-10,1801
7,-10,2101
8,-10,2164
9,-10,2215
10,-10,2272
11,-10,2323
12,-10,2387
13,-10,2445
14,-10,2501
15,-10,2547
16,-10,2606
17,-10,2661
18,100,2666
19,-10,2717
20,-10,2770
21,-10,2824
22,-10,2871
23,-10,2923
24,-10,2979
25,-10,3034
26,-10,3093
27,-10,3149
28,-10,3201
29,-10,3258
30,-10,3312
31,-10,3370
32,-10,3426
33,-10,3485
34,100,3531
35,-10,3596
36,100,3638
37,100,3676
38,100,3741
39,-10,3786
40,100,3816
41,-10,3849
42,-10,3883
43,-10,3912
44,-10,3941
45,-10,3971
46,-10,3999
47,-10,4028
48,-10,4057
49,-10,4087
50,-10,4119
51,100,4120
52,-10,4151
53,-10,4451
54,-10,4751
55,-10,5051
56,-10,5351
57,-10,5610
58,-10,5779
59,-10,6079
60,100,6080
61,-10,6248
62,-10,6548
63,-10,6848
64,-10,7148
65,100,7187
66,-10,7487
67,-10,7787
68,-10,8068
69,-10,8368
70,-10,8668
71,-10,8968
72,-10,9268
73,-10,9568
74,100,9607
75,-10,9889
76,-10,10189
77,-10,10489
78,100,10490
79,-10,10790
80,-10,11090
81,-10,11390
82,-10,11652
83,-10,11757
84,-10,11783
85,-10,11815
86,100,11893
87,100,11902
88,-10,12079
89,-10,12334
90,-10,12402
91,-10,12531
92,-10,12570
93,100,12577
94,-10,12611
95,-10,12646
96,-10,12682
97,-10,12724
98,100,12767
99,-10,12820
100,-10,12855
101,-10,12905
102,-10,12948
103,-10,13050
104,-10,13139
105,-10,13209
106,-10,13240
107,100,13324
108,-10,13387
109,-10,13457
110,-10,13517
111,-10,13596
112,-10,13667
113,-10,13714
114,-10,13775
115,-10,13817
116,-10,13849
117,-10,13879
118,-10,13915
119,100,13916
120,-10,13951
121,-10,13984
122,-10,14026
123,-10,14061
124,-10,14090
125,100,14261
126,-10,14291
127,-10,14591
128,-10,14891
129,-10,15127
130,-10,15427
131,-10,15727
132,-10,16027
133,-10,16327
134,-10,16627
135,-10,16927
136,-10,17227
137,-10,17527
138,-10,17646
139,-10,17820
140,-10,18077
141,-10,18369
142,-10,18412
143,-10,18448
144,-10,18481
145,-10,18522
146,-10,18556
147,-10,18666
148,-10,18765
149,-10,18806
150,-10,18834
151,-10,18866
152,-10,18899
153,100,18980
154,-10,19061
155,-10,19095
156,-10,19125
157,-10,19203
158,-10,19260
159,-10,19299
160,-10,19339
161,-10,19455
162,-10,19486
163,-10,19543
164,-10,19608
165,-10,19696
166,-10,19767
167,100,19781
168,100,19826
169,-10,19882
170,-10,19916
171,-10,19983
172,-10,20064
173,-10,20123
174,100,20124
175,-10,20195
176,-10,20230
177,-10,20284
178,-10,20344
179,-10,20393
180,-10,20452
181,-10,20520
182,100,20551
183,-10,20615
184,-10,20670
185,-10,20729
186,-10,20761
187,-10,20801
188,-10,20860
189,-10,20920
190,-10,20981
191,-10,21015
192,-10,21075
193,-10,21109
194,-10,21163
195,-10,21221
196,-10,21314
197,-10,21396
198,-10,21459
199,100,21460
200,-10,21538
201,-10,21599
202,-10,21661
203,-10,21724
204,-10,21806
205,-10,21862
206,-10,21896
207,-10,21959
208,-10,22018
209,-10,22084
210,-10,22140
211,-10,22207
212,100,22208
213,-10,22271
214,-10,22331
215,100,22364
216,-10,22426
217,-10,22488
218,-10,22527
219,-10,22559
220,-10,22629
221,-10,22696
222,-10,22766
223,-10,22852
224,-10,22918
225,-10,22969
226,-10,23037
227,-10,23098
228,-10,23167
229,-10,23233
230,-10,23295
231,-10,23334
232,100,23391
233,100,23430
234,-10,23465
235,-10,23535
236,-10,23628
237,-10,23660
238,-10,23736
239,-10,23788
240,-10,23855
241,-10,23887
242,-10,23962
243,-10,24053
244,100,24054
245,-10,24121
246,-10,24180
247,-10,24239
248,-10,24272
249,100,24319
250,-10,24358
251,-10,24395
252,-10,24453
253,-10,24512
254,-10,24574
255,-10,24624
256,-10,24661
257,-10,24719
258,-10,24752
259,-10,24795
260,-10,24856
261,-10,24921
262,100,24923
263,-10,24987
264,-10,25050
265,-10,25115
266,-10,25174
267,100,25180
268,-10,25249
269,-10,25316
270,-10,25378
271,-10,25409
272,-10,25438
273,100,25446
274,-10,25478
275,-10,25563
276,-10,25623
277,-10,25677
278,-10,25711
279,-10,25763
280,-10,25825
281,100,25826
282,-10,25888
283,-10,25954
284,-10,26010
285,-10,26068
286,100,26130
287,-10,26165
288,-10,26221
289,-10,26285
290,-10,26344
291,-10,26382
292,100,26391
293,-10,26429
294,-10,26480
295,-10,26573
296,-10,26615
297,-10,26666
298,-10,26734
299,-10,26807
300,-10,26893
301,-10,26954
302,-10,27019
303,-10,27096
304,-10,27158
305,-10,27213
306,-10,27274
307,-10,27308
308,-10,27392
309,-10,27457
310,-10,27511
311,-10,27574
312,-10,27630
313,-10,27661
314,-10,27718
315,-10,27781
316,-10,27839
317,-10,27895
318,-10,27952
319,100,27953
320,-10,28014
321,-10,28077
322,100,28083
323,100,28089
324,-10,28148
325,-10,28203
326,100,28250
327,100,28294
328,100,28328
329,-10,28392
330,100,28393
331,-10,28426
332,-10,28497
333,-10,28566
334,-10,28599
335,-10,28655
336,100,28701
337,-10,28757
338,-10,28816
339,-10,28878
340,-10,28970
341,-10,29056
342,-10,29115
343,100,29116
344,-10,29181
345,-10,29239
346,-10,29296
347,-10,29356
348,-10,29394
349,-10,29458
350,-10,29490
351,-10,29549
352,-10,29608
353,-10,29665
354,-10,29697
355,-10,29757
356,-10,29814
357,-10,29880
358,-10,29940
359,-10,30008
360,-10,30079
361,-10,30140
362,-10,30212
363,-10,30278
364,-10,30315
365,-10,30375
366,-10,30438
367,-10,30513
368,-10,30576
369,-10,30632
370,-10,30691
371,-10,30755
372,-10,30812
373,-10,30868
374,100,30869
375,-10,30903
376,-10,30971
377,-10,31029
378,-10,31084
379,-10,31114
380,-10,31188
381,-10,31244
382,-10,31368
383,100,31408
384,-10,31469
385,-10,31522
386,-10,31548
387,-10,31633
388,-10,31674
389,-10,31773
390,100,31776
391,100,31777
392,-10,31835
393,-10,31899
394,100,31900
395,100,31908
396,-10,31991
397,-10,32057
398,-10,32120
399,-10,32201
400,-10,32235
401,-10,32296
402,-10,32335
403,100,32377
404,100,32378
405,100,32379
406,-10,32465
407,100,32466
408,-10,32557
409,100,32561
410,-10,32619
411,-10,32676
412,-10,32735
413,-10,32791
