episode,scores,steps
0,-10,156
1,-10,198
2,-10,232
3,-10,248
4,-10,337
5,-10,414
6,-10,448
7,-10,468
8,-10,506
9,-10,526
10,-10,538
11,-10,562
12,-10,589
13,-10,624
14,100,626
15,-10,661
16,-10,697
17,100,698
18,-10,716
19,-10,753
20,-10,778
21,-10,795
22,-10,825
23,-10,870
24,-10,898
25,-10,917
26,-10,948
27,-10,986
28,-10,999
29,-10,1037
30,-10,1078
31,-10,1110
32,-10,1142
33,-10,1183
34,-10,1214
35,-10,1250
36,-10,1282
37,-10,1310
38,-10,1348
39,-10,1387
40,-10,1411
41,-10,1429
42,-10,1459
43,-10,1472
44,-10,1491
45,-10,1532
46,-10,1548
47,-10,1592
48,-10,1626
49,-10,1646
50,-10,1662
51,-10,1680
52,-10,1699
53,-10,1743
54,-10,1759
55,100,1763
56,-10,1790
57,-10,1818
58,100,1819
59,-10,1837
60,-10,1854
61,-10,1871
62,-10,1916
63,-10,1936
64,-10,1955
65,-10,1975
66,-10,2004
67,-10,2033
68,-10,2062
69,-10,2099
70,-10,2117
71,-10,2159
72,-10,2179
73,-10,2201
74,-10,2218
75,-10,2278
76,-10,2321
77,-10,2357
78,-10,2396
79,-10,2436
80,-10,2477
81,-10,2494
82,-10,2509
83,-10,2531
84,-10,2560
85,-10,2601
86,-10,2651
87,-10,2674
88,-10,2702
89,-10,2725
90,-10,2744
91,-10,2780
92,-10,2796
93,-10,2817
94,-10,2855
95,-10,2878
96,-10,2892
97,-10,2910
98,-10,2955
99,100,2986
100,-10,3032
101,-10,3066
102,-10,3085
103,-10,3121
104,-10,3155
105,-10,3186
106,-10,3231
107,-10,3248
108,-10,3267
109,-10,3292
110,100,3297
111,100,3298
112,-10,3318
113,-10,3348
114,-10,3366
115,-10,3403
116,100,3404
117,-10,3441
118,-10,3467
119,-10,3495
120,-10,3528
121,-10,3553
122,-10,3567
123,-10,3583
124,-10,3601
125,-10,3648
126,-10,3665
127,-10,3703
128,-10,3741
129,-10,3797
130,-10,3839
131,-10,3872
132,-10,3894
133,-10,3922
134,-10,3937
135,-10,4004
136,-10,4017
137,-10,4068
138,-10,4083
139,-10,4128
140,-10,4168
141,-10,4187
142,-10,4206
143,-10,4241
144,-10,4277
145,-10,4327
146,-10,4348
147,-10,4370
148,-10,4429
149,-10,4453
150,-10,4481
151,-10,4497
152,100,4530
153,-10,4576
154,-10,4628
155,-10,4665
156,-10,4701
157,-10,4781
158,-10,4818
159,-10,4852
160,-10,4875
161,-10,4894
162,-10,4927
163,-10,4955
164,-10,4974
165,-10,5010
166,-10,5028
167,-10,5063
168,-10,5170
169,-10,5207
170,-10,5330
171,-10,5375
172,-10,5393
173,100,5402
174,100,5403
175,100,5407
176,-10,5455
177,-10,5474
178,-10,5503
179,100,5533
180,100,5534
181,-10,5579
182,-10,5603
183,-10,5640
184,-10,5675
185,100,5676
186,-10,5710
187,-10,5759
188,-10,5789
189,-10,5802
190,100,5804
191,-10,5848
192,100,5849
193,-10,5909
194,-10,5937
195,-10,6001
196,-10,6018
197,-10,6064
198,-10,6084
199,-10,6101
200,-10,6179
201,-10,6196
202,-10,6236
203,-10,6251
204,-10,6277
205,-10,6292
206,100,6294
207,-10,6317
208,100,6318
209,100,6323
210,100,6364
211,-10,6411
212,-10,6434
213,-10,6451
214,-10,6491
215,-10,6504
216,-10,6542
217,-10,6607
218,-10,6623
219,-10,6639
220,-10,6669
221,-10,6700
222,-10,6727
223,100,6728
224,-10,6760
225,-10,6785
226,-10,6842
227,-10,6861
228,-10,6914
229,-10,6959
230,-10,6972
231,-10,6995
232,-10,7003
233,-10,7019
234,-10,7038
235,-10,7062
236,-10,7088
237,-10,7134
238,100,7157
239,100,7183
240,-10,7192
241,-10,7287
242,-10,7335
243,-10,7374
244,-10,7393
245,-10,7444
246,-10,7550
247,-10,7671
248,-10,7710
249,-10,7720
250,-10,7746
251,100,7747
252,-10,7818
253,-10,7849
254,-10,7928
255,-10,8012
256,-10,8046
257,100,8101
258,100,8146
259,-10,8199
260,-10,8240
261,-10,8263
262,-10,8299
263,100,8304
