episode,scores,steps
0,100,1
1,-10,76
2,-10,150
3,-10,168
4,-10,183
5,-10,195
6,-10,207
7,-10,222
8,-10,232
9,-10,247
10,100,250
11,-10,260
12,-10,270
13,-10,279
14,-10,288
15,-10,297
16,-10,306
17,-10,315
18,-10,324
19,100,331
20,-10,341
21,-10,350
22,-10,359
23,-10,369
24,-10,378
25,100,384
26,100,387
27,100,388
28,100,391
29,-10,400
30,-10,409
31,-10,418
32,-10,427
33,-10,436
34,-10,446
35,-10,457
36,100,463
37,-10,474
38,-10,485
39,-10,496
40,-10,508
41,100,512
42,-10,523
43,-10,534
44,-10,544
45,-10,554
46,100,561
47,-10,571
48,-10,581
49,-10,591
50,-10,602
51,-10,613
52,-10,624
53,-10,637
54,100,644
55,-10,657
56,-10,669
57,-10,681
58,-10,693
59,-10,706
60,-10,719
61,-10,733
62,-10,742
63,-10,751
64,-10,759
65,-10,773
66,-10,786
67,-10,799
68,-10,811
69,100,812
70,-10,824
71,100,831
72,-10,845
73,-10,859
74,100,868
75,100,872
76,-10,886
77,-10,900
78,100,903
79,-10,916
80,-10,930
81,-10,944
82,-10,960
83,100,969
84,-10,984
85,100,993
86,-10,1007
87,-10,1021
88,-10,1033
89,-10,1045
90,100,1046
91,-10,1060
92,-10,1073
93,-10,1086
94,-10,1099
95,-10,1111
96,-10,1122
97,100,1125
98,-10,1136
99,-10,1147
100,100,1150
101,100,1151
102,-10,1163
103,-10,1174
104,100,1175
105,-10,1187
106,-10,1197
107,-10,1207
108,-10,1218
109,-10,1228
110,-10,1238
111,-10,1249
112,-10,1259
113,100,1260
114,-10,1270
115,-10,1281
116,-10,1290
117,100,1293
118,-10,1302
119,-10,1311
120,-10,1321
121,-10,1331
122,-10,1341
123,-10,1351
124,-10,1361
125,-10,1371
126,-10,1381
127,-10,1391
128,-10,1401
129,-10,1411
130,-10,1421
131,-10,1431
132,-10,1441
133,-10,1451
134,-10,1461
135,-10,1470
136,100,1471
137,-10,1481
138,-10,1491
139,100,1492
140,-10,1502
141,-10,1513
142,-10,1524
143,-10,1535
144,-10,1547
145,-10,1559
146,-10,1572
147,-10,1588
148,-10,1838
149,-10,1847
150,-10,1857
151,-10,1866
152,-10,1875
153,-10,1885
154,-10,1894
155,-10,1902
156,-10,1911
157,-10,1921
158,-10,1930
159,-10,1940
160,-10,1949
161,-10,1958
162,-10,1968
163,-10,1979
164,-10,1989
165,100,1990
166,-10,2001
167,-10,2015
168,100,2018
169,-10,2030
170,-10,2044
171,-10,2079
172,-10,2117
173,-10,2131
174,-10,2348
175,-10,2443
176,-10,2454
177,-10,2465
178,-10,2476
179,-10,2492
180,100,2511
181,100,2513
182,-10,2528
183,-10,2538
184,100,2541
185,-10,2568
186,-10,2600
187,-10,2623
188,-10,2654
189,100,2655
190,-10,2668
191,-10,2681
192,-10,2694
193,-10,2703
194,-10,2713
195,-10,2723
196,-10,2740
197,-10,2753
198,-10,2765
199,-10,2787
200,-10,2800
201,-10,2815
202,-10,2832
203,-10,2845
204,-10,2872
205,100,2885
206,100,2886
207,-10,2896
208,-10,2910
209,100,2911
210,-10,2928
211,-10,2937
212,-10,2946
213,-10,2956
214,-10,2989
215,-10,3005
216,-10,3013
217,-10,3021
218,100,3039
219,-10,3050
220,-10,3064
221,-10,3088
222,-10,3100
223,-10,3115
224,-10,3129
225,-10,3140
226,-10,3152
227,-10,3162
228,-10,3172
229,-10,3182
230,-10,3191
231,-10,3201
232,-10,3209
233,-10,3218
234,-10,3228
235,-10,3239
236,-10,3250
237,-10,3260
238,-10,3270
239,-10,3279
240,-10,3295
241,-10,3305
242,100,3322
243,-10,3395
244,-10,3406
245,100,3409
246,-10,3471
247,-10,3495
248,-10,3509
249,-10,3533
250,-10,3543
251,-10,3555
252,-10,3565
253,-10,3575
254,-10,3587
255,-10,3596
256,-10,3610
257,-10,3619
258,-10,3644
259,-10,3654
260,100,3658
261,-10,3670
262,-10,3686
263,100,3689
264,100,3690
265,-10,3701
266,-10,3710
267,-10,3722
268,-10,3732
269,-10,3741
270,-10,3750
271,-10,3759
272,-10,3769
273,-10,3779
274,-10,3789
275,-10,3799
276,-10,3809
277,-10,3820
278,-10,3830
279,-10,3846
280,-10,3861
281,-10,3870
282,100,3874
283,100,3875
284,-10,3887
285,-10,3904
286,-10,3916
287,-10,3928
288,-10,3938
289,-10,3950
290,100,3963
291,-10,3977
292,-10,3988
293,-10,4004
294,100,4007
295,-10,4039
296,-10,4050
297,-10,4076
298,-10,4108
299,-10,4122
300,-10,4134
301,-10,4147
302,-10,4180
303,-10,4192
304,-10,4225
305,-10,4239
306,-10,4250
307,-10,4274
308,-10,4286
309,-10,4297
310,-10,4311
311,100,4314
312,-10,4347
313,-10,4372
314,-10,4382
315,-10,4391
316,-10,4406
317,-10,4417
318,-10,4437
319,-10,4449
320,100,4452
321,100,4453
322,100,4454
323,-10,4464
324,-10,4476
325,-10,4486
326,-10,4498
327,-10,4507
328,-10,4518
329,-10,4529
330,-10,4539
331,-10,4549
332,-10,4560
333,-10,4570
334,-10,4580
