episode,scores,steps
0,-10,250
1,-10,415
2,100,428
3,-10,523
4,100,524
5,-10,556
6,-10,574
7,-10,591
8,-10,602
9,-10,625
10,-10,639
11,-10,648
12,-10,672
13,-10,689
14,-10,707
15,-10,722
16,-10,738
17,100,742
18,-10,755
19,100,765
20,-10,785
21,-10,809
22,-10,832
23,-10,859
24,-10,885
25,-10,897
26,-10,914
27,-10,932
28,-10,976
29,-10,997
30,-10,1014
31,-10,1026
32,-10,1045
33,-10,1066
34,100,1067
35,100,1084
36,-10,1104
37,-10,1129
38,-10,1140
39,-10,1150
40,100,1158
41,100,1159
42,-10,1204
43,100,1216
44,-10,1231
45,100,1240
46,-10,1270
47,-10,1290
48,-10,1304
49,-10,1322
50,100,1330
51,-10,1346
52,-10,1367
53,-10,1386
54,100,1394
55,-10,1412
56,-10,1426
57,-10,1435
58,-10,1451
59,100,1466
60,-10,1486
61,-10,1501
62,100,1504
63,-10,1533
64,-10,1552
65,100,1565
66,-10,1589
67,-10,1605
68,-10,1639
69,-10,1659
70,100,1668
71,-10,1685
72,-10,1710
73,-10,1732
74,100,1735
75,-10,1752
76,-10,1760
77,-10,1784
78,100,1799
79,100,1800
80,100,1819
81,-10,1848
82,-10,1858
83,-10,1881
84,-10,1894
85,100,1900
86,100,1909
87,-10,1936
88,100,1937
89,-10,1952
90,-10,1970
91,-10,1988
92,-10,2074
93,-10,2105
94,-10,2126
95,-10,2149
96,-10,2180
97,-10,2204
98,100,2215
99,-10,2261
100,-10,2274
101,100,2291
102,100,2292
103,-10,2304
104,-10,2318
105,-10,2334
106,-10,2349
107,-10,2372
108,100,2383
109,-10,2394
110,-10,2407
111,-10,2428
112,-10,2437
113,100,2449
114,100,2462
115,-10,2484
116,100,2485
117,-10,2512
118,-10,2526
119,-10,2534
120,-10,2582
121,100,2596
122,100,2604
123,-10,2641
124,-10,2669
125,-10,2691
126,-10,2701
127,-10,2728
128,-10,2784
129,-10,2823
130,-10,2851
131,-10,2866
132,-10,2910
133,-10,2951
134,-10,2989
135,-10,3018
136,-10,3065
137,-10,3090
138,-10,3117
139,-10,3136
140,-10,3162
141,-10,3182
142,-10,3241
143,-10,3263
144,-10,3312
145,-10,3394
146,-10,3435
147,-10,3464
148,-10,3496
149,-10,3525
150,-10,3552
151,-10,3581
152,-10,3608
153,-10,3637
154,-10,3655
155,-10,3676
156,-10,3698
157,-10,3767
158,100,3795
159,-10,3806
160,-10,3836
161,-10,3860
162,-10,3881
163,-10,3902
164,-10,3929
165,-10,3947
166,-10,3962
167,-10,3972
168,-10,3994
169,-10,4015
170,-10,4049
171,-10,4079
172,100,4080
173,-10,4117
174,-10,4143
175,100,4154
176,100,4200
177,100,4203
178,-10,4225
179,-10,4270
180,-10,4286
181,-10,4304
182,-10,4316
183,-10,4348
184,-10,4375
185,-10,4396
186,-10,4430
187,-10,4459
188,-10,4490
189,-10,4511
190,-10,4589
191,-10,4605
192,-10,4629
193,-10,4646
194,-10,4687
195,-10,4717
196,-10,4755
197,100,4769
198,-10,4778
199,-10,4791
200,-10,4817
201,-10,4854
202,-10,4883
203,-10,4909
204,-10,4947
205,100,4956
206,-10,4993
207,100,4997
208,100,5042
209,100,5054
210,100,5071
211,-10,5079
212,-10,5111
213,100,5123
214,-10,5144
215,-10,5169
216,-10,5202
217,-10,5238
218,-10,5273
219,-10,5292
220,-10,5316
221,-10,5357
222,-10,5378
223,100,5417
224,-10,5465
225,-10,5497
226,-10,5518
227,-10,5552
228,-10,5593
229,-10,5613
230,-10,5638
231,-10,5669
232,-10,5692
233,100,5701
234,-10,5731
235,-10,5757
236,-10,5778
237,-10,5815
238,-10,5834
239,-10,5861
240,100,5871
241,100,5899
242,-10,5931
243,-10,5950
244,-10,5998
245,100,6031
246,-10,6051
247,-10,6074
248,-10,6090
249,100,6097
250,-10,6153
251,-10,6179
252,100,6233
253,100,6238
254,-10,6279
255,-10,6300
256,-10,6349
257,-10,6463
258,-10,6505
259,100,6580
260,-10,6608
261,100,6662
262,-10,6694
263,100,6715
264,-10,6759
265,-10,6796
266,100,6806
267,100,6814
268,-10,6838
269,-10,6997
270,100,7005
271,100,7006
272,-10,7023
273,-10,7054
274,100,7062
275,-10,7091
276,-10,7131
277,-10,7190
278,-10,7244
279,-10,7274
