episode,scores,steps
0,-10,250
1,-10,500
2,100,635
3,100,782
4,-10,862
5,-10,938
6,-10,1019
7,100,1027
8,-10,1101
9,-10,1185
10,-10,1263
11,-10,1340
12,100,1400
13,-10,1482
14,-10,1573
15,-10,1662
16,-10,1751
17,-10,1842
18,-10,1941
19,-10,2029
20,-10,2128
21,-10,2220
22,-10,2314
23,-10,2445
24,100,2468
25,-10,2560
26,-10,2686
27,-10,2801
28,-10,2918
29,-10,3019
30,-10,3131
31,-10,3245
32,-10,3365
33,-10,3487
34,-10,3737
35,-10,3847
36,-10,3982
37,100,3991
38,-10,4109
39,-10,4359
40,100,4390
41,-10,4519
42,-10,4635
43,-10,4775
44,-10,4895
45,-10,5007
46,-10,5156
47,-10,5266
48,-10,5410
49,-10,5557
50,-10,5728
51,-10,5858
52,-10,6020
53,-10,6176
54,-10,6327
55,-10,6475
56,-10,6725
57,-10,6863
58,-10,7056
59,-10,7213
60,-10,7369
61,-10,7525
62,-10,7638
63,-10,7806
64,-10,7929
65,-10,8039
66,-10,8176
67,-10,8297
68,-10,8528
69,-10,8668
70,100,8669
71,-10,8816
72,-10,9004
73,-10,9133
74,-10,9233
75,-10,9351
76,100,9352
77,-10,9602
78,-10,9727
79,-10,9835
80,-10,9945
81,-10,10113
82,-10,10215
83,-10,10321
84,-10,10414
85,-10,10536
86,-10,10675
87,-10,10925
88,-10,11033
89,100,11034
90,-10,11133
91,-10,11230
92,-10,11385
93,-10,11550
94,-10,11664
95,-10,11802
96,-10,11904
97,-10,11998
98,-10,12125
99,100,12215
100,100,12324
101,100,12400
102,100,12471
103,-10,12582
104,-10,12690
105,-10,12783
106,100,12784
107,-10,12906
108,-10,13042
109,-10,13131
110,100,13207
111,-10,13314
112,-10,13424
113,-10,13533
114,-10,13671
115,-10,13802
116,100,13818
117,-10,13905
118,100,13957
119,100,13966
120,-10,14092
121,-10,14194
122,-10,14293
123,-10,14398
124,100,14423
125,-10,14524
126,-10,14629
127,-10,14730
128,-10,14829
129,-10,14942
130,-10,15045
131,-10,15135
132,100,15173
133,-10,15280
134,-10,15374
135,100,15422
136,-10,15512
137,-10,15611
138,-10,15727
139,-10,15862
140,100,15929
141,100,15952
142,-10,16051
143,100,16123
144,-10,16235
145,-10,16342
146,100,16380
147,100,16396
148,-10,16481
149,-10,16597
150,100,16639
151,100,16667
152,-10,16770
153,-10,16882
154,100,16974
155,100,17029
156,-10,17119
157,-10,17219
158,-10,17316
159,-10,17417
160,-10,17517
161,-10,17610
162,-10,17705
163,-10,17826
164,-10,17936
165,100,17978
166,100,18037
167,-10,18144
168,-10,18252
169,100,18284
170,100,18318
171,-10,18428
172,-10,18533
173,100,18590
174,100,18598
175,100,18647
176,100,18711
177,100,18772
178,100,18829
179,-10,18919
180,100,18945
181,100,18946
182,-10,19039
183,100,19252
184,-10,19388
185,100,19415
186,100,19435
187,-10,19525
188,100,19539
189,-10,19639
190,100,19661
191,-10,19770
192,100,19838
193,-10,19970
194,100,20018
195,100,20065
196,-10,20187
197,-10,20315
198,-10,20436
199,100,20442
200,100,20483
201,-10,20583
202,100,20625
203,-10,20741
204,100,20754
205,-10,20861
206,100,20892
207,-10,20987
208,-10,21083
209,-10,21182
210,-10,21304
211,-10,21405
212,100,21442
213,100,21530
214,100,21564
215,-10,21667
216,-10,21785
217,-10,21877
218,100,22100
219,-10,22221
220,-10,22350
221,-10,22455
222,100,22492
223,100,22506
224,100,22532
225,-10,22664
226,100,22698
227,-10,22807
228,100,22824
229,100,22847
230,-10,22941
231,-10,23066
232,100,23114
233,-10,23271
234,-10,23484
235,-10,23592
236,100,23800
237,-10,23919
238,100,23942
239,100,23982
240,-10,24156
241,-10,24321
242,-10,24424
243,-10,24584
244,100,24586
245,-10,24731
246,-10,24856
247,-10,24957
248,-10,25132
249,-10,25275
250,-10,25442
251,100,25500
252,-10,25652
253,-10,25810
254,-10,25967
255,-10,26101
256,100,26121
257,100,26167
258,-10,26341
259,-10,26438
260,100,26479
261,100,26526
262,100,26553
263,100,26594
264,-10,26733
265,100,26981
266,100,27009
267,100,27038
268,-10,27175
269,100,27215
270,100,27296
271,-10,27546
272,-10,27704
273,100,27740
274,100,27782
275,100,27794
276,-10,27890
277,100,27917
278,-10,28021
279,100,28048
280,100,28088
281,100,28105
282,100,28148
283,-10,28306
284,100,28340
285,100,28356
286,100,28463
287,-10,28575
288,100,28576
289,-10,28675
290,-10,28777
291,100,28820
292,100,28854
293,100,28892
294,-10,29063
295,100,29101
296,-10,29351
297,100,29599
298,100,29623
299,-10,29750
300,-10,29853
301,100,30067
302,100,30081
303,-10,30271
304,-10,30393
305,100,30413
306,100,30414
307,100,30415
308,100,30436
309,100,30462
310,100,30708
311,100,30921
312,-10,31044
313,100,31276
314,100,31303
315,100,31338
316,-10,31440
317,-10,31615
318,-10,31764
319,100,31788
320,100,31826
321,100,31865
322,100,31891
323,100,31917
324,100,31918
325,100,32140
326,100,32173
327,100,32199
328,100,32447
329,100,32622
330,100,32645
331,100,32705
332,100,32726
333,100,32757
334,100,32758
335,-10,32905
336,100,32956
337,100,32966
338,-10,33082
339,-10,33260
340,100,33294
341,100,33533
342,-10,33783
343,100,33803
344,100,34049
345,100,34065
346,100,34204
347,100,34226
348,100,34407
349,100,34408
350,100,34525
351,100,34579
352,100,34785
353,100,34802
354,100,35001
355,100,35021
356,100,35056
357,100,35125
358,-10,35375
359,100,35562
360,-10,35778
361,100,35805
362,100,35881
363,100,35905
364,100,36153
365,100,36180
366,100,36228
367,100,36240
368,100,36311
369,100,36356
370,100,36398
371,100,36643
372,100,36813
373,100,36837
374,100,36860
375,100,37063
376,100,37064
377,100,37116
378,100,37117
379,100,37326
380,100,37350
381,100,37382
382,100,37431
383,100,37460
384,100,37687
385,100,37711
386,-10,37851
387,100,37894
388,100,37969
389,100,38022
390,100,38052
391,100,38067
392,100,38270
393,100,38324
394,100,38333
395,100,38368
396,100,38416
397,100,38649
398,100,38826
399,100,39016
400,100,39066
401,100,39137
402,100,39176
403,100,39196
404,100,39197
405,100,39222
406,100,39462
407,100,39493
408,100,39547
409,100,39577
410,100,39605
411,100,39638
412,100,39678
413,100,39923
414,-10,40035
415,100,40067
416,100,40068
417,100,40084
418,100,40127
419,100,40216
420,100,40406
421,100,40449
422,100,40494
423,100,40532
424,100,40567
425,100,40635
426,-10,40778
427,100,40847
428,100,40863
429,-10,41113
430,100,41144
431,100,41195
432,100,41370
433,100,41415
434,-10,41540
435,100,41577
436,100,41825
437,100,41860
438,100,42067
439,100,42314
440,100,42516
441,-10,42766
442,100,42807
443,100,42979
444,100,43018
445,100,43027
446,100,43192
447,100,43434
448,100,43474
449,100,43475
450,100,43531
451,100,43583
452,100,43821
453,100,43854
454,-10,44104
455,100,44266
456,100,44464
457,100,44480
458,100,44491
459,100,44524
460,100,44562
461,100,44614
462,100,44634
463,100,44635
464,100,44680
465,100,44880
466,100,45049
467,100,45168
468,100,45214
469,100,45252
470,100,45280
471,100,45317
472,100,45385
473,100,45451
474,100,45520
475,100,45585
476,100,45644
477,100,45725
478,-10,45975
479,100,46004
480,100,46015
481,100,46078
482,-10,46328
483,-10,46578
484,100,46681
485,100,46901
486,100,46955
487,100,47013
488,-10,47263
489,100,47325
490,-10,47547
491,-10,47797
492,100,47831
493,100,47879
494,100,47920
495,100,47971
496,100,47972
497,100,48045
498,100,48084
499,100,48155
500,100,48348
501,100,48431
502,100,48468
503,100,48697
504,100,48734
505,100,48752
506,100,48806
507,100,48842
508,100,49061
509,-10,49311
510,100,49506
511,100,49545
512,100,49763
513,100,49971
514,100,50156
515,100,50388
516,100,50447
517,100,50648
518,100,50704
519,100,50797
520,100,50818
521,100,50840
522,100,50864
523,100,51080
524,100,51157
525,100,51210
526,100,51211
527,100,51285
528,100,51286
529,100,51296
530,100,51368
531,100,51575
532,100,51814
533,100,51820
534,100,51902
535,100,51903
536,100,51951
537,100,51992
538,100,52021
539,100,52056
540,100,52094
541,100,52141
542,100,52196
543,100,52225
544,100,52274
545,100,52352
546,100,52412
547,100,52607
548,100,52633
549,100,52634
550,100,52704
551,100,52746
552,100,52796
553,100,52859
554,100,52876
555,100,52912
556,100,52942
557,100,53132
558,100,53179
559,100,53221
560,100,53286
561,100,53318
562,100,53383
563,100,53438
564,100,53505
565,100,53531
566,100,53621
567,100,53655
568,100,53706
569,100,53763
570,100,53799
571,100,53832
572,100,53873
573,100,53897
574,100,54061
575,100,54278
576,100,54306
577,100,54313
578,100,54353
579,100,54409
580,100,54442
581,100,54456
582,100,54520
583,100,54558
584,100,54783
585,100,54986
586,100,55040
587,-10,55290
588,100,55359
589,100,55372
590,100,55426
591,100,55645
592,100,55804
593,100,55862
594,100,55863
595,100,55882
596,100,56007
597,100,56058
598,100,56098
599,100,56165
600,100,56203
601,100,56204
602,100,56251
603,100,56300
604,100,56377
605,100,56459
606,100,56496
607,100,56539
608,100,56579
609,100,56685
610,100,56717
611,100,56759
612,100,56780
613,100,56817
614,100,56872
615,100,56889
616,100,56936
617,100,56976
618,100,57178
619,100,57228
