episode,scores,steps
0,-10,500
1,-10,1000
2,-10,1500
3,-10,2000
4,-10,2500
5,-10,3000
6,-10,3500
7,-10,4000
8,-10,4500
9,-10,5000
10,-10,5500
11,-10,6000
12,-10,6500
13,-10,7000
14,-10,7500
15,-10,8000
16,-10,8500
17,-10,9000
18,-10,9500
19,-10,10000
20,-10,10500
21,-10,11000
22,-10,11500
23,-10,12000
24,-10,12500
25,-10,13000
26,-10,13500
27,-10,14000
28,-10,14500
29,-10,15000
30,-10,15500
31,-10,16000
32,-10,16500
33,-10,17000
34,-10,17500
35,-10,18000
36,-10,18500
37,100,18518
38,-10,19018
39,-10,19518
40,-10,20018
41,-10,20518
42,-10,21018
43,-10,21518
44,-10,22018
45,-10,22518
46,-10,23018
47,100,23036
48,-10,23536
49,-10,24036
50,-10,24536
51,-10,25036
52,-10,25536
53,-10,26036
54,-10,26536
55,-10,27036
56,-10,27536
57,-10,28036
58,-10,28536
59,-10,29036
60,-10,29536
61,-10,30036
62,100,30054
63,-10,30554
64,-10,31054
65,-10,31554
66,-10,32054
67,-10,32554
68,-10,33054
69,-10,33554
70,-10,34054
71,-10,34554
72,-10,35054
73,-10,35554
74,-10,36054
75,-10,36554
76,-10,37054
77,-10,37554
78,100,37572
79,-10,38072
80,-10,38572
81,-10,39072
82,-10,39572
83,-10,40072
84,-10,40572
85,-10,41072
86,-10,41572
87,-10,42072
88,-10,42572
89,-10,43072
90,-10,43572
91,-10,44072
92,-10,44572
93,-10,45072
94,-10,45572
95,-10,46072
96,-10,46572
97,-10,47072
98,-10,47572
99,-10,48072
100,-10,48572
101,-10,49072
102,-10,49572
103,-10,50072
104,-10,50572
105,-10,51072
106,-10,51572
107,-10,52072
108,-10,52572
109,-10,53072
110,-10,53572
111,-10,54072
112,-10,54572
113,-10,55072
114,-10,55572
115,-10,56072
116,-10,56572
117,-10,57072
118,-10,57572
119,-10,58072
120,-10,58572
121,-10,59072
122,100,59090
123,-10,59590
124,-10,60090
125,-10,60590
126,-10,61090
127,-10,61590
128,-10,62090
129,-10,62590
130,-10,63090
131,-10,63590
132,-10,64090
133,-10,64590
134,-10,65090
135,-10,65590
136,-10,66090
137,-10,66590
138,-10,67090
139,-10,67590
140,-10,68090
141,-10,68590
142,-10,69090
143,-10,69590
144,-10,70090
145,-10,70590
146,-10,71090
147,-10,71590
148,-10,72090
149,-10,72590
150,-10,73090
151,-10,73590
152,-10,74090
153,-10,74590
154,-10,75090
155,-10,75590
156,-10,76090
157,-10,76590
158,-10,77090
159,-10,77590
160,-10,78090
161,-10,78590
162,-10,79090
163,-10,79590
164,-10,80090
165,-10,80590
166,-10,81090
167,-10,81590
168,-10,82090
169,-10,82590
170,-10,83090
171,-10,83590
172,-10,84090
173,-10,84590
174,-10,85090
175,-10,85590
176,-10,86090
177,-10,86590
178,-10,87090
179,-10,87590
180,-10,88090
181,-10,88590
182,-10,89090
183,-10,89590
184,-10,90090
185,-10,90590
186,-10,91090
187,-10,91590
188,-10,92090
189,-10,92590
190,-10,93090
191,-10,93590
192,-10,94090
193,-10,94590
194,-10,95090
195,-10,95590
196,-10,96090
197,-10,96590
198,-10,97090
199,-10,97590
200,-10,98090
201,-10,98590
202,-10,99090
203,-10,99590
204,-10,100090
205,-10,100590
206,-10,101090
207,-10,101590
208,-10,102090
209,-10,102590
210,-10,103090
211,-10,103590
212,-10,104090
213,-10,104590
214,-10,105090
215,-10,105590
216,-10,106090
217,-10,106590
218,-10,107090
219,-10,107590
220,-10,108090
221,-10,108590
222,-10,109090
223,-10,109590
224,-10,110090
225,-10,110590
226,-10,111090
227,-10,111590
228,-10,112090
229,-10,112590
230,-10,113090
231,-10,113590
232,-10,114090
233,-10,114590
234,-10,115090
235,-10,115590
236,-10,116090
237,-10,116590
238,-10,117090
239,-10,117590
240,-10,118090
241,-10,118590
242,-10,119090
243,-10,119590
244,-10,120090
245,-10,120590
246,-10,121090
247,-10,121590
248,-10,122090
249,-10,122590
250,-10,123090
251,-10,123590
252,-10,124090
253,-10,124590
254,-10,125090
255,-10,125590
256,-10,126090
257,-10,126590
258,-10,127090
259,-10,127590
260,-10,128090
261,-10,128590
262,100,128608
263,-10,129108
264,-10,129608
265,-10,130108
266,-10,130608
267,-10,131108
268,-10,131608
269,-10,132108
270,-10,132608
271,-10,133108
272,-10,133608
273,-10,134108
274,-10,134608
275,-10,135108
276,-10,135608
277,-10,136108
278,-10,136608
279,-10,137108
280,-10,137608
281,-10,138108
282,-10,138608
283,-10,139108
284,-10,139608
285,-10,140108
286,-10,140608
287,-10,141108
288,-10,141608
289,-10,142108
290,-10,142608
291,-10,143108
292,-10,143608
293,-10,144108
294,-10,144608
295,-10,145108
296,-10,145608
297,-10,146108
298,-10,146608
299,-10,147108
300,-10,147608
301,-10,148108
302,-10,148608
303,-10,149108
304,-10,149608
305,-10,150108
306,-10,150608
307,-10,151108
308,-10,151608
309,-10,152108
310,-10,152608
311,-10,153108
312,-10,153608
313,-10,154108
